index, memory.used [MiB]
0, 0 MiB
1, 0 MiB
2, 0 MiB
3, 0 MiB
4, 0 MiB
5, 0 MiB
6, 0 MiB
7, 0 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 1 MiB
5, 1 MiB
6, 1 MiB
7, 1 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 1 MiB
7, 1 MiB
0, 27 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 4 MiB
1, 4 MiB
2, 1 MiB
3, 1 MiB
4, 1 MiB
5, 1 MiB
6, 1 MiB
7, 1 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 1 MiB
7, 1 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 0 MiB
1, 0 MiB
2, 0 MiB
3, 0 MiB
4, 0 MiB
5, 0 MiB
6, 0 MiB
7, 0 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 1 MiB
5, 1 MiB
6, 1 MiB
7, 1 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 1 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 4 MiB
1, 4 MiB
2, 4 MiB
3, 4 MiB
4, 4 MiB
5, 4 MiB
6, 4 MiB
7, 4 MiB
0, 736 MiB
1, 736 MiB
2, 736 MiB
3, 736 MiB
4, 736 MiB
5, 736 MiB
6, 736 MiB
7, 736 MiB
0, 838 MiB
1, 838 MiB
2, 838 MiB
3, 838 MiB
4, 838 MiB
5, 838 MiB
6, 838 MiB
7, 838 MiB
0, 1706 MiB
1, 1706 MiB
2, 1706 MiB
3, 1706 MiB
4, 1706 MiB
5, 1706 MiB
6, 1706 MiB
7, 1706 MiB
0, 1706 MiB
1, 1706 MiB
2, 1706 MiB
3, 1706 MiB
4, 1706 MiB
5, 1706 MiB
6, 1706 MiB
7, 1706 MiB
0, 1706 MiB
1, 1706 MiB
2, 1706 MiB
3, 1706 MiB
4, 1706 MiB
5, 1706 MiB
6, 1706 MiB
7, 1706 MiB
0, 1706 MiB
1, 1706 MiB
2, 1706 MiB
3, 1706 MiB
4, 1706 MiB
5, 1706 MiB
6, 1706 MiB
7, 1706 MiB
0, 33616 MiB
1, 33616 MiB
2, 33616 MiB
3, 33616 MiB
4, 33616 MiB
5, 33616 MiB
6, 33616 MiB
7, 33616 MiB
0, 38474 MiB
1, 38472 MiB
2, 38474 MiB
3, 38544 MiB
4, 38474 MiB
5, 38474 MiB
6, 38474 MiB
7, 38548 MiB
0, 41798 MiB
1, 41798 MiB
2, 41798 MiB
3, 41798 MiB
4, 41798 MiB
5, 41798 MiB
6, 41798 MiB
7, 41798 MiB
0, 41798 MiB
1, 41798 MiB
2, 41798 MiB
3, 41798 MiB
4, 41798 MiB
5, 41798 MiB
6, 41798 MiB
7, 41798 MiB
0, 41798 MiB
1, 41798 MiB
2, 41798 MiB
3, 41798 MiB
4, 41798 MiB
5, 41798 MiB
6, 41798 MiB
7, 41798 MiB
0, 41912 MiB
1, 41912 MiB
2, 41910 MiB
3, 41912 MiB
4, 41908 MiB
5, 41910 MiB
6, 41906 MiB
7, 41908 MiB
0, 47116 MiB
1, 47116 MiB
2, 47114 MiB
3, 47116 MiB
4, 46564 MiB
5, 46566 MiB
6, 46562 MiB
7, 46564 MiB
0, 47116 MiB
1, 47116 MiB
2, 47114 MiB
3, 47116 MiB
4, 46564 MiB
5, 46566 MiB
6, 46562 MiB
7, 46564 MiB
0, 47116 MiB
1, 47116 MiB
2, 47114 MiB
3, 47116 MiB
4, 46564 MiB
5, 46566 MiB
6, 46562 MiB
7, 46564 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 48180 MiB
1, 48180 MiB
2, 48178 MiB
3, 48180 MiB
4, 47766 MiB
5, 47768 MiB
6, 47764 MiB
7, 47766 MiB
0, 49164 MiB
1, 49164 MiB
2, 49162 MiB
3, 49164 MiB
4, 48750 MiB
5, 48752 MiB
6, 48748 MiB
7, 48750 MiB
0, 49166 MiB
1, 49166 MiB
2, 49164 MiB
3, 49166 MiB
4, 48752 MiB
5, 48754 MiB
6, 48750 MiB
7, 48752 MiB
0, 49166 MiB
1, 49166 MiB
2, 49164 MiB
3, 49166 MiB
4, 48752 MiB
5, 48754 MiB
6, 48750 MiB
7, 48752 MiB
0, 49166 MiB
1, 49166 MiB
2, 49164 MiB
3, 49166 MiB
4, 48752 MiB
5, 48754 MiB
6, 48750 MiB
7, 48752 MiB
0, 49166 MiB
1, 49166 MiB
2, 49164 MiB
3, 49166 MiB
4, 48752 MiB
5, 48754 MiB
6, 48750 MiB
7, 48752 MiB
0, 50850 MiB
1, 50850 MiB
2, 50848 MiB
3, 50850 MiB
4, 50142 MiB
5, 50144 MiB
6, 50140 MiB
7, 50142 MiB
0, 53510 MiB
1, 53510 MiB
2, 53508 MiB
3, 53510 MiB
4, 84784 MiB
5, 84786 MiB
6, 84782 MiB
7, 84784 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104068 MiB
1, 104068 MiB
2, 104066 MiB
3, 104068 MiB
4, 97604 MiB
5, 97606 MiB
6, 97602 MiB
7, 97604 MiB
0, 104070 MiB
1, 104070 MiB
2, 104068 MiB
3, 104070 MiB
4, 97606 MiB
5, 97608 MiB
6, 97604 MiB
7, 97606 MiB
0, 104070 MiB
1, 104070 MiB
2, 104068 MiB
3, 104070 MiB
4, 97606 MiB
5, 97608 MiB
6, 97604 MiB
7, 97606 MiB
0, 104070 MiB
1, 104070 MiB
2, 104068 MiB
3, 104070 MiB
4, 97606 MiB
5, 97608 MiB
6, 97604 MiB
7, 97606 MiB
0, 105134 MiB
1, 105134 MiB
2, 105132 MiB
3, 105134 MiB
4, 98552 MiB
5, 98554 MiB
6, 98550 MiB
7, 98552 MiB
0, 105134 MiB
1, 105134 MiB
2, 105132 MiB
3, 105134 MiB
4, 98552 MiB
5, 98554 MiB
6, 98550 MiB
7, 98552 MiB
0, 105134 MiB
1, 105134 MiB
2, 105132 MiB
3, 105134 MiB
4, 98552 MiB
5, 98554 MiB
6, 98550 MiB
7, 98552 MiB
0, 105136 MiB
1, 105136 MiB
2, 105134 MiB
3, 105136 MiB
4, 98554 MiB
5, 98556 MiB
6, 98552 MiB
7, 98554 MiB
0, 105768 MiB
1, 105768 MiB
2, 105766 MiB
3, 105768 MiB
4, 99192 MiB
5, 99194 MiB
6, 99190 MiB
7, 99192 MiB
0, 138784 MiB
1, 138784 MiB
2, 138782 MiB
3, 138784 MiB
4, 146372 MiB
5, 146356 MiB
6, 146368 MiB
7, 146372 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146372 MiB
5, 146356 MiB
6, 146368 MiB
7, 146372 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146372 MiB
5, 146356 MiB
6, 146368 MiB
7, 146372 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146374 MiB
5, 146356 MiB
6, 146370 MiB
7, 146374 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146374 MiB
5, 146356 MiB
6, 146370 MiB
7, 146374 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146374 MiB
5, 146356 MiB
6, 146370 MiB
7, 146374 MiB
0, 139852 MiB
1, 139852 MiB
2, 139850 MiB
3, 139852 MiB
4, 146374 MiB
5, 146356 MiB
6, 146370 MiB
7, 146374 MiB
0, 171054 MiB
1, 171052 MiB
2, 171050 MiB
3, 171052 MiB
4, 179726 MiB
5, 179710 MiB
6, 179740 MiB
7, 179726 MiB
0, 173206 MiB
1, 173204 MiB
2, 173202 MiB
3, 173204 MiB
4, 179726 MiB
5, 179710 MiB
6, 179740 MiB
7, 179726 MiB
0, 173206 MiB
1, 173204 MiB
2, 173202 MiB
3, 173204 MiB
4, 179726 MiB
