index, memory.used [MiB], utilization.gpu [%]
0, 0 MiB, 0 %
1, 0 MiB, 0 %
2, 0 MiB, 0 %
3, 0 MiB, 0 %
4, 0 MiB, 0 %
5, 0 MiB, 0 %
6, 0 MiB, 0 %
7, 0 MiB, 0 %
0, 1084 MiB, 0 %
1, 1082 MiB, 0 %
2, 1084 MiB, 0 %
3, 1084 MiB, 0 %
4, 1084 MiB, 0 %
5, 1084 MiB, 0 %
6, 1084 MiB, 1 %
7, 1080 MiB, 0 %
index, memory.used [MiB], utilization.gpu [%]
0, 0 MiB, 0 %
1, 0 MiB, 0 %
2, 0 MiB, 0 %
3, 0 MiB, 0 %
4, 0 MiB, 0 %
5, 0 MiB, 0 %
6, 0 MiB, 0 %
7, 0 MiB, 0 %
0, 1536 MiB, 0 %
1, 1536 MiB, 0 %
2, 1536 MiB, 0 %
3, 1536 MiB, 0 %
4, 1536 MiB, 0 %
5, 1536 MiB, 0 %
6, 1536 MiB, 0 %
7, 1536 MiB, 0 %
0, 48180 MiB, 0 %
1, 48180 MiB, 0 %
2, 48178 MiB, 52 %
3, 48180 MiB, 53 %
4, 47766 MiB, 0 %
5, 47768 MiB, 53 %
6, 47764 MiB, 0 %
7, 47766 MiB, 0 %
0, 104068 MiB, 15 %
1, 104068 MiB, 100 %
2, 104066 MiB, 0 %
3, 104068 MiB, 0 %
4, 97604 MiB, 36 %
5, 97606 MiB, 0 %
6, 97602 MiB, 0 %
7, 97604 MiB, 0 %
0, 139852 MiB, 100 %
1, 139852 MiB, 100 %
2, 139850 MiB, 100 %
3, 139852 MiB, 100 %
4, 146374 MiB, 100 %
5, 146356 MiB, 100 %
6, 146370 MiB, 100 %
7, 146374 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 99 %
5, 179710 MiB, 99 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 0 %
1, 173204 MiB, 0 %
2, 173202 MiB, 0 %
3, 173204 MiB, 0 %
4, 179726 MiB, 0 %
5, 179710 MiB, 0 %
6, 179740 MiB, 0 %
7, 179726 MiB, 0 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 99 %
5, 179710 MiB, 100 %
6, 179740 MiB, 99 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 99 %
2, 173202 MiB, 99 %
3, 173204 MiB, 100 %
4, 179726 MiB, 96 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 99 %
2, 173202 MiB, 96 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 97 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 99 %
2, 173202 MiB, 100 %
3, 173204 MiB, 99 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 97 %
1, 173204 MiB, 97 %
2, 173202 MiB, 97 %
3, 173204 MiB, 98 %
4, 179726 MiB, 99 %
5, 179710 MiB, 99 %
6, 179740 MiB, 100 %
7, 179726 MiB, 99 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
5, 179710 MiB, 100 %
6, 179740 MiB, 100 %
7, 179726 MiB, 100 %
0, 173206 MiB, 100 %
1, 173204 MiB, 100 %
2, 173202 MiB, 100 %
3, 173204 MiB, 100 %
4, 179726 MiB, 100 %
