[07/26/26 16:01:13] INFO     [train] [iter 119, tokens 62400, elapsed_time 127388.57 ms, achieved FLOPS 1093.63 TFLOPS, MFU 6.08%]: loss nan                                                                                                    
[07/26/26 16:03:24] INFO     [train] [iter 139, tokens 62400, elapsed_time 128794.56 ms, achieved FLOPS 1086.66 TFLOPS, MFU 6.04%]: loss nan                                                                                                    
[07/26/26 16:05:36] INFO     [train] [iter 159, tokens 62400, elapsed_time 129754.88 ms, achieved FLOPS 1078.10 TFLOPS, MFU 5.99%]: loss nan                                                                                                    
[07/26/26 16:07:46] INFO     [train] [iter 179, tokens 62400, elapsed_time 127692.52 ms, achieved FLOPS 1093.75 TFLOPS, MFU 6.08%]: loss nan                                                                                                    
[07/26/26 16:09:57] INFO     [train] [iter 199, tokens 62400, elapsed_time 128981.98 ms, achieved FLOPS 1082.20 TFLOPS, MFU 6.01%]: loss nan                                                                                                    
[07/26/26 16:12:08] INFO     [train] [iter 219, tokens 62400, elapsed_time 129145.45 ms, achieved FLOPS 1083.43 TFLOPS, MFU 6.02%]: loss nan                                                                                                    
[07/26/26 16:14:24] INFO     [train] [iter 239, tokens 64000, elapsed_time 134033.55 ms, achieved FLOPS 1070.21 TFLOPS, MFU 5.95%]: loss nan                                                                                                    
[07/26/26 16:16:34] INFO     [train] [iter 259, tokens 62400, elapsed_time 127761.78 ms, achieved FLOPS 1094.23 TFLOPS, MFU 6.08%]: loss nan                                                                                                    
[07/26/26 16:18:42] INFO     [train] [iter 279, tokens 62400, elapsed_time 125801.50 ms, achieved FLOPS 1110.12 TFLOPS, MFU 6.17%]: loss nan                                                                                                    
[07/26/26 16:20:51] INFO     [train] [iter 299, tokens 62400, elapsed_time 127741.15 ms, achieved FLOPS 1099.44 TFLOPS, MFU 6.11%]: loss nan                                                                                                    
[07/26/26 16:23:02] INFO     [train] [iter 319, tokens 62400, elapsed_time 128843.15 ms, achieved FLOPS 1083.77 TFLOPS, MFU 6.02%]: loss nan                                                                                                    
[07/26/26 16:25:13] INFO     [train] [iter 339, tokens 62400, elapsed_time 128123.69 ms, achieved FLOPS 1087.35 TFLOPS, MFU 6.04%]: loss nan                                                                                                    
[07/26/26 16:27:22] INFO     [train] [iter 359, tokens 62400, elapsed_time 127085.04 ms, achieved FLOPS 1101.27 TFLOPS, MFU 6.12%]: loss nan                                                                                                    
[07/26/26 16:29:32] INFO     [train] [iter 379, tokens 62400, elapsed_time 127716.71 ms, achieved FLOPS 1095.30 TFLOPS, MFU 6.09%]: loss nan                                                                                                    
[07/26/26 16:31:40] INFO     [train] [iter 399, tokens 62400, elapsed_time 126486.22 ms, achieved FLOPS 1104.18 TFLOPS, MFU 6.13%]: loss nan                                                                                                    
[07/26/26 16:33:50] INFO     [train] [iter 419, tokens 62400, elapsed_time 127571.18 ms, achieved FLOPS 1094.17 TFLOPS, MFU 6.08%]: loss nan                                                                                                    
[07/26/26 16:36:01] INFO     [train] [iter 439, tokens 62400, elapsed_time 129357.07 ms, achieved FLOPS 1081.65 TFLOPS, MFU 6.01%]: loss nan                                                                                                    
[07/26/26 16:38:15] INFO     [train] [iter 459, tokens 64000, elapsed_time 131391.20 ms, achieved FLOPS 1091.73 TFLOPS, MFU 6.07%]: loss nan                                                                                                    
[07/26/26 16:40:27] INFO     [train] [iter 479, tokens 62400, elapsed_time 129786.88 ms, achieved FLOPS 1077.16 TFLOPS, MFU 5.98%]: loss nan                                                                                                    
[07/26/26 16:42:37] INFO     [train] [iter 499, tokens 62400, elapsed_time 128254.19 ms, achieved FLOPS 1088.89 TFLOPS, MFU 6.05%]: loss nan                                                                                                    
