index, memory.used [MiB], utilization.gpu [%]
0, 0 MiB, 0 %
1, 0 MiB, 0 %
2, 0 MiB, 0 %
3, 0 MiB, 0 %
4, 0 MiB, 0 %
5, 0 MiB, 0 %
6, 0 MiB, 0 %
7, 0 MiB, 0 %
0, 1536 MiB, 1 %
1, 1530 MiB, 0 %
2, 1536 MiB, 0 %
3, 1536 MiB, 0 %
4, 1536 MiB, 0 %
5, 1536 MiB, 0 %
6, 1536 MiB, 0 %
7, 1536 MiB, 2 %
index, memory.used [MiB], utilization.gpu [%]
0, 0 MiB, 0 %
1, 0 MiB, 0 %
2, 0 MiB, 0 %
3, 0 MiB, 0 %
4, 0 MiB, 0 %
5, 0 MiB, 0 %
6, 0 MiB, 0 %
7, 0 MiB, 0 %
0, 1080 MiB, 0 %
1, 1080 MiB, 0 %
2, 1080 MiB, 0 %
3, 1084 MiB, 0 %
4, 1084 MiB, 0 %
5, 1084 MiB, 0 %
6, 1084 MiB, 0 %
7, 1084 MiB, 0 %
0, 33782 MiB, 0 %
1, 33794 MiB, 99 %
2, 33794 MiB, 0 %
3, 33794 MiB, 0 %
4, 33794 MiB, 0 %
5, 33794 MiB, 77 %
6, 33794 MiB, 0 %
7, 33782 MiB, 0 %
0, 58124 MiB, 0 %
1, 58138 MiB, 0 %
2, 58138 MiB, 0 %
3, 58138 MiB, 0 %
4, 58138 MiB, 0 %
5, 58138 MiB, 0 %
6, 58138 MiB, 0 %
7, 58124 MiB, 0 %
0, 132656 MiB, 98 %
1, 132650 MiB, 99 %
2, 132650 MiB, 98 %
3, 132650 MiB, 98 %
4, 132652 MiB, 98 %
5, 132650 MiB, 98 %
6, 132650 MiB, 98 %
7, 132656 MiB, 98 %
0, 159328 MiB, 0 %
1, 159324 MiB, 0 %
2, 159322 MiB, 0 %
3, 159324 MiB, 0 %
4, 159326 MiB, 0 %
5, 159324 MiB, 0 %
6, 159324 MiB, 0 %
7, 159328 MiB, 0 %
0, 88654 MiB, 99 %
1, 88660 MiB, 99 %
2, 88660 MiB, 99 %
3, 88660 MiB, 98 %
4, 88660 MiB, 98 %
5, 88660 MiB, 99 %
6, 88660 MiB, 98 %
7, 88652 MiB, 98 %
0, 88654 MiB, 99 %
1, 88660 MiB, 98 %
2, 88660 MiB, 96 %
3, 88660 MiB, 96 %
4, 88660 MiB, 99 %
5, 88660 MiB, 96 %
6, 88660 MiB, 99 %
7, 88652 MiB, 96 %
0, 88654 MiB, 98 %
1, 88660 MiB, 100 %
2, 88660 MiB, 96 %
3, 88660 MiB, 95 %
4, 88660 MiB, 100 %
5, 88660 MiB, 99 %
6, 88660 MiB, 97 %
7, 88652 MiB, 100 %
0, 119300 MiB, 100 %
1, 119306 MiB, 100 %
2, 119306 MiB, 99 %
3, 119306 MiB, 99 %
4, 119306 MiB, 100 %
5, 119306 MiB, 96 %
6, 119306 MiB, 99 %
7, 119298 MiB, 100 %
0, 119300 MiB, 100 %
1, 119306 MiB, 100 %
2, 119306 MiB, 96 %
3, 119306 MiB, 100 %
4, 119306 MiB, 100 %
5, 119306 MiB, 100 %
6, 119306 MiB, 100 %
7, 119298 MiB, 100 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 97 %
3, 150722 MiB, 96 %
4, 150722 MiB, 100 %
5, 150722 MiB, 99 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 96 %
1, 150722 MiB, 95 %
2, 150722 MiB, 96 %
3, 150722 MiB, 96 %
4, 150722 MiB, 100 %
5, 150722 MiB, 99 %
6, 150722 MiB, 96 %
7, 150714 MiB, 97 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 99 %
1, 150722 MiB, 99 %
2, 150722 MiB, 99 %
3, 150722 MiB, 99 %
4, 150722 MiB, 99 %
5, 150722 MiB, 99 %
6, 150722 MiB, 99 %
7, 150714 MiB, 99 %
0, 150716 MiB, 99 %
1, 150722 MiB, 99 %
2, 150722 MiB, 99 %
3, 150722 MiB, 98 %
4, 150722 MiB, 99 %
5, 150722 MiB, 99 %
6, 150722 MiB, 99 %
7, 150714 MiB, 99 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 100 %
1, 150722 MiB, 100 %
2, 150722 MiB, 100 %
3, 150722 MiB, 100 %
4, 150722 MiB, 100 %
5, 150722 MiB, 100 %
6, 150722 MiB, 100 %
7, 150714 MiB, 100 %
0, 150716 MiB, 96 %
1, 150722 MiB, 97 %
2, 150722 MiB, 97 %
3, 150722 MiB, 97 %
4, 150722 MiB, 99 %
5, 150722 MiB, 96 %
6, 150722 MiB, 96 %
7, 150714 MiB, 97 %
0, 150716 MiB, 98 %
1, 150722 MiB, 98 %
2, 150722 MiB, 98 %
3, 150722 MiB, 97 %
4, 150722 MiB, 98 %
5, 150722 MiB, 98 %
6, 150722 MiB, 98 %
7, 150714 MiB, 98 %
0, 150716 MiB, 0 %
1, 150722 MiB, 0 %
2, 150722 MiB, 0 %
3, 150722 MiB, 100 %
4, 150722 MiB, 0 %
5, 150722 MiB, 100 %
6, 150722 MiB, 0 %
7, 150714 MiB, 0 %
0, 150716 MiB, 1 %
1, 150722 MiB, 4 %
2, 150722 MiB, 3 %
3, 150722 MiB, 3 %
4, 150722 MiB, 2 %
5, 150724 MiB, 5 %
6, 150722 MiB, 5 %
7, 150714 MiB, 5 %
0, 150718 MiB, 99 %
1, 150722 MiB, 99 %
2, 150724 MiB, 99 %
3, 150724 MiB, 99 %
4, 150722 MiB, 99 %
