[07/26/26 06:04:07] INFO     [train] [iter 119, tokens 40960, elapsed_time 23776.74 ms, achieved FLOPS 658.46 TFLOPS, MFU 3.66%]: loss nan                                                                                                      
[07/26/26 06:04:31] INFO     [train] [iter 139, tokens 40960, elapsed_time 21859.08 ms, achieved FLOPS 706.22 TFLOPS, MFU 3.92%]: loss nan                                                                                                      
[07/26/26 06:04:56] INFO     [train] [iter 159, tokens 40960, elapsed_time 22862.11 ms, achieved FLOPS 687.44 TFLOPS, MFU 3.82%]: loss nan                                                                                                      
[07/26/26 06:05:18] INFO     [train] [iter 179, tokens 40960, elapsed_time 21729.38 ms, achieved FLOPS 729.66 TFLOPS, MFU 4.05%]: loss nan                                                                                                      
[07/26/26 06:05:48] INFO     [train] [iter 199, tokens 40960, elapsed_time 27593.75 ms, achieved FLOPS 651.48 TFLOPS, MFU 3.62%]: loss nan                                                                                                      
[07/26/26 06:06:12] INFO     [train] [iter 219, tokens 40960, elapsed_time 21753.19 ms, achieved FLOPS 708.86 TFLOPS, MFU 3.94%]: loss nan                                                                                                      
[07/26/26 06:06:35] INFO     [train] [iter 239, tokens 40960, elapsed_time 21835.86 ms, achieved FLOPS 699.10 TFLOPS, MFU 3.88%]: loss nan                                                                                                      
[07/26/26 06:07:01] INFO     [train] [iter 259, tokens 40960, elapsed_time 24138.42 ms, achieved FLOPS 654.65 TFLOPS, MFU 3.64%]: loss nan                                                                                                      
[07/26/26 06:07:24] INFO     [train] [iter 279, tokens 40960, elapsed_time 21388.07 ms, achieved FLOPS 720.80 TFLOPS, MFU 4.00%]: loss nan                                                                                                      
[07/26/26 06:07:47] INFO     [train] [iter 299, tokens 40960, elapsed_time 21989.53 ms, achieved FLOPS 685.14 TFLOPS, MFU 3.81%]: loss nan                                                                                                      
[07/26/26 06:08:13] INFO     [train] [iter 319, tokens 40960, elapsed_time 24046.16 ms, achieved FLOPS 639.93 TFLOPS, MFU 3.56%]: loss nan                                                                                                      
[07/26/26 06:08:37] INFO     [train] [iter 339, tokens 40960, elapsed_time 22562.01 ms, achieved FLOPS 719.81 TFLOPS, MFU 4.00%]: loss nan                                                                                                      
[07/26/26 06:09:00] INFO     [train] [iter 359, tokens 40960, elapsed_time 21571.55 ms, achieved FLOPS 679.94 TFLOPS, MFU 3.78%]: loss nan                                                                                                      
[07/26/26 06:09:25] INFO     [train] [iter 379, tokens 40960, elapsed_time 22530.77 ms, achieved FLOPS 679.70 TFLOPS, MFU 3.78%]: loss nan                                                                                                      
[07/26/26 06:09:49] INFO     [train] [iter 399, tokens 40960, elapsed_time 21586.33 ms, achieved FLOPS 696.72 TFLOPS, MFU 3.87%]: loss nan                                                                                                      
[07/26/26 06:10:13] INFO     [train] [iter 419, tokens 40960, elapsed_time 22435.28 ms, achieved FLOPS 709.77 TFLOPS, MFU 3.94%]: loss nan                                                                                                      
[07/26/26 06:10:39] INFO     [train] [iter 439, tokens 40960, elapsed_time 23558.86 ms, achieved FLOPS 684.75 TFLOPS, MFU 3.80%]: loss nan                                                                                                      
[07/26/26 06:11:04] INFO     [train] [iter 459, tokens 40960, elapsed_time 22870.84 ms, achieved FLOPS 675.30 TFLOPS, MFU 3.75%]: loss nan                                                                                                      
[07/26/26 06:11:28] INFO     [train] [iter 479, tokens 40960, elapsed_time 22242.07 ms, achieved FLOPS 667.26 TFLOPS, MFU 3.71%]: loss nan                                                                                                      
[07/26/26 06:11:53] INFO     [train] [iter 499, tokens 40960, elapsed_time 23072.75 ms, achieved FLOPS 651.51 TFLOPS, MFU 3.62%]: loss nan                                                                                                      
